bunny copy #1
-0.224909 -0.460696 0.154914
-0.030464 0.291353 -0.123014
-0.212875 -0.459718 0.162574
-0.242996 -0.481156 0.163353
-0.0294259 -0.49125 -0.140924
-0.255865 -0.484735 0.156994
-0.253738 -0.48182 0.141224
-0.153016 -0.330682 -0.242635
-0.254788 -0.474869 0.115257
0.0444737 -0.460346 -0.107898
0.0868182 -0.458914 -0.0826002
0.0708567 -0.415941 0.272777
-0.285692 -0.485141 0.095564
-0.350565 -0.335757 0.0323378
-0.278692 -0.481524 0.0648694
0.117367 -0.480749 -0.073171
0.145081 -0.492195 -0.0592376
-0.266922 -0.468969 0.0475778
0.0930915 -0.487 0.188318
-0.148073 -0.414885 0.429755
-0.117656 0.195072 -0.478107
-0.298905 -0.484603 0.0191193
-0.279055 -0.485763 -0.23923
-0.290209 -0.480561 0.0125137
-0.300455 -0.482873 -0.00853604
-0.243599 -0.485602 -0.228218
-0.233324 -0.48576 -0.220502
0.145356 -0.489747 0.010385
-0.223296 -0.485819 -0.212886
-0.293172 -0.0615585 0.00433933
-0.199977 -0.487739 -0.212083
0.178671 -0.408308 0.0304927
-0.0422064 -0.491784 -0.144568
0.0237361 -0.460763 -0.115033
0.0352873 -0.460656 -0.114238
-0.277584 -0.484816 -0.0905005
0.0378391 -0.459167 -0.0041405
0.0868049 -0.459879 -0.0955862
-0.269719 -0.485341 -0.113446
-0.240469 -0.484025 -0.111276
-0.254656 -0.485581 -0.111928
-0.00107512 -0.403066 -0.267346
-0.221749 -0.472157 -0.102322
-0.217293 -0.463926 -0.090991
-0.231285 -0.467862 -0.0936128
-0.241489 -0.4675 -0.0851147
0.110314 -0.473046 -0.0858569
0.120185 -0.484457 -0.0878687
-0.236367 -0.458468 -0.0634198
-0.283653 -0.480325 -0.0661531
-0.25622 -0.460189 -0.0519555
0.133206 -0.357947 0.268508
-0.286836 -0.479416 -0.0538421
0.128558 -0.489224 -0.0786369
-0.288009 -0.477908 -0.0395771
0.137109 -0.491468 -0.0697937
-0.291466 -0.48471 -0.247653
-0.241184 0.170733 -0.2886
-0.264988 -0.486001 -0.244292
-0.254173 -0.486098 -0.236071
-0.270471 -0.462647 0.0125258
-0.220904 -0.486201 -0.226137
-0.257779 -0.458833 0.0436812
-0.190415 -0.488708 -0.205608
-0.245607 -0.454946 0.0513916
-0.0661778 -0.482576 -0.157899
-0.249482 -0.46016 0.0757382
-0.234445 -0.466198 0.145051
-0.0544297 -0.485664 -0.165975
-0.0427301 -0.491104 -0.158399
-0.240478 -0.458752 0.103642
-0.225527 -0.454649 0.123503
-0.0333814 -0.492005 -0.151521
0.0247623 -0.25624 -0.358815
-0.22307 -0.45478 0.139902
-0.0867115 -0.0437204 -0.458991
0.0440814 -0.460896 -0.121328
-0.258349 -0.457444 0.0319069
-0.293884 -0.480601 -0.0242347
-0.210317 -0.163717 0.373111
-0.0828557 -0.485931 -0.207368
0.0710027 -0.45949 -0.0990336
-0.202538 0.0539495 -0.1826
